"Hogar","Factor","Comuna","Personas","Vehículos","BicicletasAdulto","BicicletasNino","IngresoHogar","Hombres","Mujeres","LicenciasdeConducir","PasesEscolares","Trabajadores","Estudiantes","Jubilados","DuenosdeCasa","Desempleados","Otros","Niños","Jovenes","AdultoJovenes","Adultos","AdultoMayores","Discapacidad","ViajesTrabajo","ViajesEstudio","ViajesOtro"
"1969","91.342308044434","PUENTE ALTO","3","0","0","1","397618","2","1","0","0","1","1","0","1","0","0","0","1","0","2","0","0","0","0","8"
"1970","95.741416931152","PEÑALOLEN","3","1","0","0","2716789","1","2","2","0","2","1","0","0","0","0","1","0","0","2","0","0","4","2","0"
"1971","178.59712219238","MAIPU","5","2","0","0","977073","2","3","2","0","3","0","1","1","0","0","0","0","0","5","0","0","2","0","6"
"1972","92.377593994141","CERRO NAVIA","2","1","0","0","350000","1","1","1","0","1","0","0","1","0","0","0","0","0","0","2","0","1","0","2"
"1973","80.476219177246","HUECHURABA","4","0","0","0","500000","1","3","0","1","1","1","0","1","0","1","1","0","1","2","0","0","2","2","4"
"1974","106.85340881348","LAS CONDES","2","2","0","0","2415956","1","1","2","0","1","0","0","1","0","0","0","0","0","2","0","1","2","0","14"
"1975","308.50912475586","PEÑALOLEN","3","2","2","0","637758","2","1","2","1","2","1","0","0","0","0","0","0","1","2","0","0","2","2","0"
"1976","103.17881011963","VITACURA","4","2","1","0","1812215","2","2","4","0","2","0","2","0","0","0","0","0","0","4","0","0","4","0","8"
"1977","80.557960510254","RECOLETA","1","0","0","0","180000","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","2"
"1978","68.254501342773","QUINTA NORMAL","2","0","1","0","115525","1","1","0","0","0","0","0","1","1","0","0","0","1","1","0","0","0","0","3"
"1979","40.008815765381","MAIPU","4","1","1","1","385102","3","1","1","0","1","1","0","1","0","1","1","1","0","2","0","0","3","2","11"
"1980","91.685958862305","PUENTE ALTO","3","0","1","0","590096","1","2","0","1","2","1","0","0","0","0","0","0","1","2","0","0","2","2","2"
"1981","88.08179473877","EL BOSQUE","4","0","0","0","610000","3","1","1","0","2","0","0","1","1","0","0","0","0","4","0","0","4","0","4"
"1982","136.87228393555","LAS CONDES","5","1","2","0","2143547","2","3","3","2","3","2","1","0","0","0","0","1","0","3","1","1","2","0","10"
"1983","75.27515411377","PUENTE ALTO","4","0","0","0","400000","2","2","0","1","1","1","0","1","1","0","0","1","0","3","0","0","2","2","2"
"1984","425.81076049805","PROVIDENCIA","5","3","0","0","1842229","2","3","1","2","1","3","0","1","0","0","0","1","2","2","0","0","3","4","6"
"1985","120.92643737793","LA PINTANA","2","0","1","0","260000","1","1","0","0","1","0","0","1","0","0","0","0","0","2","0","0","2","0","0"
"1986","97.99919128418","PUENTE ALTO","5","1","1","0","850000","2","3","1","0","3","0","1","1","0","0","0","0","0","4","1","0","6","0","4"
"1987","119.59719085693","LO BARNECHEA","4","2","2","2","3503373","3","1","2","0","1","2","0","1","0","0","1","1","0","2","0","0","2","4","7"
"1988","105.65547943115","EL BOSQUE","3","0","0","0","342042","2","1","0","0","2","0","0","1","0","0","0","0","0","3","0","0","4","0","0"
"1989","62.458560943604","SAN MIGUEL","2","1","0","0","216617","1","1","1","0","0","0","1","1","0","1","0","0","0","0","2","1","0","0","4"
"1990","148.23895263672","QUILICURA","3","0","1","1","694157","1","2","0","0","1","0","0","0","0","2","0","1","0","2","0","0","2","0","4"
"1991","63.833766937256","ÑUÑOA","3","1","0","0","112283","1","2","2","0","1","0","1","2","0","1","1","0","0","1","1","0","2","0","17"
"1992","96.573432922363","LO PRADO","2","0","1","0","148000","1","1","0","0","0","0","0","1","0","1","0","0","0","0","2","2","0","0","0"
"1993","123.33717346191","PUDAHUEL","3","2","2","0","350000","2","1","2","0","2","1","0","1","0","0","0","0","1","2","0","0","4","0","8"
"1994","80.476219177246","HUECHURABA","4","0","0","1","500000","2","2","0","1","1","1","0","1","0","1","1","1","0","2","0","0","2","0","6"
"1995","48.791923522949","MAIPU","4","1","0","0","1066456","2","2","1","0","2","0","0","1","0","1","1","0","0","3","0","0","0","0","4"
"1996","212.67906188965","LA REINA","5","2","1","2","1126630","2","3","2","0","0","2","2","1","0","0","0","1","1","1","2","0","0","5","21"
"1997","114.69492340088","LA FLORIDA","1","0","0","0","391514","0","1","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","2"
"1998","109.37176513672","SAN MIGUEL","1","0","0","0","180000","0","1","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","2"
"1999","72.011085510254","SAN BERNARDO","2","0","1","0","237920","1","1","0","0","1","0","0","1","0","0","0","0","0","1","1","0","2","0","2"
"2000","56.176643371582","SAN MIGUEL","3","1","1","1","834613","2","1","3","1","2","1","0","0","0","0","0","0","1","2","0","0","4","2","0"
"2001","90.025375366211","SANTIAGO","1","0","0","0","131483","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","4"
"2002","73.347564697266","PUENTE ALTO","4","0","0","0","443000","2","2","1","0","2","1","0","1","0","0","0","1","0","3","0","0","2","0","2"
